,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lebu,CL,-37.6167,-73.65,61.97,72,0,13.49,clear sky
80,San Patricio,US,28.017,-97.5169,69.8,37,40,10.36,scattered clouds
81,Clyde River,CA,70.4692,-68.5914,-4.0,84,20,10.36,few clouds
82,Mar Del Plata,AR,-38.0023,-57.5575,68.0,83,40,14.97,scattered clouds
83,Viedma,AR,-40.8135,-62.9967,79.21,13,100,5.99,overcast clouds
84,Vestmannaeyjar,IS,63.4427,-20.2734,34.77,52,52,8.57,broken clouds
85,Mehamn,NO,71.0357,27.8492,32.0,80,0,9.22,clear sky
86,Namatanai,PG,-3.6667,152.4333,78.8,80,78,8.37,light rain
87,Bengkulu,ID,-3.8004,102.2655,77.27,90,100,4.12,overcast clouds
88,Jalu,LY,29.0331,21.5482,62.04,31,60,6.33,broken clouds
89,Muros,ES,42.7762,-9.0603,62.6,45,0,4.61,clear sky
90,Malatya,TR,38.5,38.0,32.0,80,0,6.91,clear sky
91,Statesville,US,35.7826,-80.8873,68.0,77,90,14.97,overcast clouds
92,Jamestown,US,42.097,-79.2353,48.0,81,90,17.18,overcast clouds
93,Cockburn Town,TC,21.4612,-71.1419,80.6,65,40,18.41,scattered clouds
94,Taltal,CL,-25.4,-70.4833,67.37,68,23,4.92,few clouds
95,Carnarvon,AU,-24.8667,113.6333,73.4,94,0,3.65,clear sky
96,Atuona,PF,-9.8,-139.0333,81.1,72,100,17.69,overcast clouds
97,Wattegama,LK,6.7989,81.4808,73.4,100,90,3.44,overcast clouds
98,Dikson,RU,73.5069,80.5464,-25.04,100,96,6.93,overcast clouds
99,Itapeva,BR,-23.9822,-48.8756,80.15,65,100,6.06,overcast clouds
100,Sechura,PE,-5.5569,-80.8222,81.66,55,80,14.43,broken clouds
101,Bacalar,MX,18.6667,-88.3833,87.01,62,40,20.71,scattered clouds
102,Komsomolskiy,UZ,40.4272,71.7189,50.0,93,75,2.3,broken clouds
103,Naze,JP,28.3667,129.4833,63.21,83,38,5.39,scattered clouds
104,Fortuna,US,40.5982,-124.1573,48.2,100,75,10.36,broken clouds
105,Betanzos,ES,43.2804,-8.2147,60.8,48,0,2.3,clear sky
106,Ribeira Grande,PT,38.5167,-28.7,60.8,77,40,17.27,scattered clouds
107,Georgetown,MY,5.4112,100.3354,78.8,94,20,1.14,few clouds
108,Mount Darwin,ZW,-16.7725,31.5838,66.11,91,85,4.32,light rain
109,Gazimurskiy Zavod,RU,51.5461,118.3266,17.02,96,91,4.68,overcast clouds
110,Hermanus,ZA,-34.4187,19.2345,66.99,74,100,4.0,overcast clouds
111,The Valley,AI,18.217,-63.0578,82.4,83,75,20.71,broken clouds
112,Quatre Cocos,MU,-20.2078,57.7625,78.01,88,20,4.61,few clouds
113,Bulaevo,KZ,54.9056,70.4439,21.43,94,100,18.25,light snow
114,Lagoa,PT,39.05,-27.9833,59.27,81,100,21.27,overcast clouds
115,Caravelas,BR,-17.7125,-39.2481,81.16,69,0,8.1,clear sky
116,Marfino,RU,55.7028,37.3822,39.2,60,0,2.24,clear sky
117,North Bend,US,43.4065,-124.2243,48.2,81,90,13.8,overcast clouds
118,Dogondoutchi,NE,13.6393,4.0287,80.55,11,3,10.38,clear sky
119,Morozovsk,RU,48.3539,41.8261,36.57,80,100,4.43,overcast clouds
120,Samarai,PG,-10.6167,150.6667,82.06,79,92,10.94,overcast clouds
121,Coquimbo,CL,-29.9533,-71.3436,64.4,63,40,9.22,scattered clouds
122,East London,ZA,-33.0153,27.9116,66.16,73,100,11.95,overcast clouds
123,Qaanaaq,GL,77.484,-69.3632,-16.26,81,72,3.91,broken clouds
124,Tasiilaq,GL,65.6145,-37.6368,19.4,53,20,9.22,few clouds
125,Riyadh,SA,24.6877,46.7219,66.2,19,0,8.05,clear sky
126,Victoria,HK,22.2855,114.1577,75.99,88,10,5.03,clear sky
127,Guerrero Negro,MX,27.9769,-114.0611,82.04,18,26,8.41,scattered clouds
128,Payo,ID,-3.7508,103.6372,72.46,99,100,2.01,overcast clouds
129,Juigalpa,NI,12.1063,-85.3645,89.6,48,40,6.91,scattered clouds
130,Areia Branca,BR,-4.9561,-37.1369,87.8,66,40,11.5,scattered clouds
131,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.0,68,89,1.99,overcast clouds
132,Alice Springs,AU,-23.7,133.8833,66.2,77,3,10.85,clear sky
133,San Cristobal,VE,7.7669,-72.225,84.2,58,40,5.79,scattered clouds
134,Bilma,NE,18.6853,12.9164,73.94,13,0,8.32,clear sky
135,Nanortalik,GL,60.1432,-45.2371,26.08,66,2,8.25,clear sky
136,Tiksi,RU,71.6872,128.8694,1.63,99,100,1.72,overcast clouds
137,Alyangula,AU,-13.8483,136.4192,81.66,78,81,13.38,broken clouds
138,Shelburne,CA,44.0787,-80.2041,44.01,100,100,19.44,overcast clouds
139,Seoul,KR,37.5683,126.9778,50.0,93,90,5.75,dust
140,Upernavik,GL,72.7868,-56.1549,-17.7,80,24,2.44,few clouds
141,Manga,BF,11.6636,-1.0731,87.98,13,0,8.16,clear sky
142,Kavieng,PG,-2.5744,150.7967,82.63,75,92,14.14,overcast clouds
143,Aklavik,CA,68.2191,-135.0107,-5.8,54,20,5.75,few clouds
144,Toamasina,MG,-18.1667,49.3833,80.6,89,75,3.44,light rain
145,Rodas,CU,22.3408,-80.5572,87.8,51,20,13.8,light rain
146,Yumen,CN,40.2833,97.2,45.63,48,31,10.36,scattered clouds
147,Warrington,GB,53.3925,-2.5802,55.4,88,90,21.85,moderate rain
148,Ahipara,NZ,-35.1667,173.1667,67.14,92,60,6.62,moderate rain
149,Merke,KZ,42.8728,73.1786,46.71,89,100,4.63,light rain
150,Srandakan,ID,-7.9386,110.2506,76.64,88,47,2.82,scattered clouds
151,Eureka,US,40.8021,-124.1637,51.01,93,90,6.87,overcast clouds
152,Cape Town,ZA,-33.9258,18.4232,70.0,72,0,6.91,clear sky
153,Geraldton,AU,-28.7667,114.6,68.0,77,1,1.14,clear sky
154,Ojinaga,MX,29.5667,-104.4167,73.4,18,1,10.36,clear sky
155,Tuatapere,NZ,-46.1333,167.6833,53.01,99,96,1.01,overcast clouds
156,Nemuro,JP,43.3236,145.575,41.52,96,100,37.76,overcast clouds
157,Sainte-Suzanne,RE,-20.9061,55.6089,77.0,78,0,3.44,clear sky
158,High Level,CA,58.5169,-117.136,24.8,93,90,18.41,light snow
159,Mingguang,CN,32.7802,117.9638,57.58,77,0,7.65,clear sky
160,Cherskiy,RU,68.75,161.3,-9.27,93,100,0.74,overcast clouds
161,Anau,PF,-16.5167,-151.7333,82.36,73,16,22.21,few clouds
162,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,0,6.91,clear sky
163,Pervomayskoye,RU,43.919,46.7102,44.08,73,99,7.63,overcast clouds
164,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,75,9.22,broken clouds
165,Caruaru,BR,-8.2833,-35.9761,75.83,78,47,7.27,light rain
166,Praia,CV,14.9215,-23.5087,69.8,68,40,25.32,scattered clouds
167,Yerbogachen,RU,61.2767,108.0108,4.03,100,100,2.06,overcast clouds
168,Ayan,RU,56.45,138.1667,14.92,89,100,3.87,overcast clouds
169,Ormara,PK,25.2088,64.6357,78.22,81,24,10.29,few clouds
170,Ribeira Brava,PT,32.65,-17.0667,62.01,87,71,5.01,broken clouds
171,Pangkalanbuun,ID,-2.6833,111.6167,74.16,97,91,1.25,overcast clouds
172,Teacapan,MX,22.55,-105.75,79.03,44,78,12.59,broken clouds
173,Inhambane,MZ,-23.865,35.3833,77.0,73,20,6.91,few clouds
174,Ust-Barguzin,RU,53.45,108.9833,14.31,90,79,4.85,broken clouds
175,Zhigansk,RU,66.7697,123.3711,-1.75,99,100,3.31,overcast clouds
176,Mahebourg,MU,-20.4081,57.7,77.0,88,20,4.61,few clouds
177,Castro,BR,-24.7911,-50.0119,71.64,84,100,6.31,overcast clouds
178,Somerset,US,40.5668,-74.5496,63.0,94,90,13.13,mist
179,Kazanskaya,RU,45.4106,40.4361,39.6,91,81,8.12,light rain
180,Ust-Shonosha,RU,61.1531,41.343,26.26,93,98,3.87,overcast clouds
181,Klaksvik,FO,62.2266,-6.589,41.0,87,75,16.11,broken clouds
182,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,72,40,15.46,scattered clouds
183,Abu Samrah,SY,35.3029,37.1841,48.29,63,3,5.5,clear sky
184,Michigan City,US,41.7075,-86.895,46.0,72,100,21.25,overcast clouds
185,Miraflores,MX,19.2167,-98.8083,84.2,14,20,9.22,few clouds
186,Torbay,CA,47.6666,-52.7314,28.99,68,75,9.22,snow
187,Roald,NO,62.5833,6.1333,42.8,75,40,10.36,scattered clouds
188,Rehoboth,NA,-23.3167,17.0833,70.79,26,5,8.88,clear sky
189,Vila Velha,BR,-20.3297,-40.2925,82.4,65,40,6.91,scattered clouds
190,Prainha,BR,-1.8,-53.48,86.11,59,72,5.23,broken clouds
191,Pangnirtung,CA,66.1451,-65.7125,5.0,51,90,3.44,overcast clouds
192,Nouadhibou,MR,20.931,-17.0347,68.0,73,0,20.71,clear sky
193,Almoloya,MX,19.7,-98.4,84.2,17,1,12.66,clear sky
194,Kushima,JP,31.4583,131.2333,52.65,89,0,7.87,clear sky
195,Caiaponia,BR,-16.9567,-51.8103,83.61,46,2,4.59,clear sky
196,Xiongzhou,CN,25.1167,114.3,72.86,80,4,2.95,clear sky
197,Vostok,RU,46.4856,135.8833,32.99,86,100,8.57,snow
198,Winnemucca,US,40.973,-117.7357,68.0,15,1,12.66,clear sky
199,Divnomorskoye,RU,44.5011,38.1353,44.96,82,51,6.35,broken clouds
200,Ilulissat,GL,69.2167,-51.1,-5.8,41,0,2.3,clear sky
201,Urukh,RU,43.2933,44.0265,41.0,81,90,8.95,overcast clouds
202,Ancud,CL,-41.8697,-73.8203,68.0,60,20,17.27,few clouds
203,College,US,64.8569,-147.8028,10.99,61,40,5.75,scattered clouds
204,Abu Dhabi,AE,24.4667,54.3667,75.2,69,0,12.66,clear sky
205,Krasnoselkup,RU,65.7,82.4667,-6.39,99,7,9.44,clear sky
206,Rio Grande,BR,-32.035,-52.0986,75.2,78,75,10.36,broken clouds
207,Mount Isa,AU,-20.7333,139.5,75.2,31,0,16.11,clear sky
208,Felipe Carrillo Puerto,MX,19.5833,-88.05,90.99,42,3,9.62,clear sky
209,Martapura,ID,-3.4167,114.85,77.0,100,40,1.14,light rain
210,Plettenberg Bay,ZA,-34.0527,23.3716,62.71,81,100,9.31,overcast clouds
211,Mizdah,LY,31.4451,12.9801,62.64,22,8,7.99,clear sky
212,Hobart,AU,-42.8794,147.3294,53.6,50,20,14.97,few clouds
213,Isangel,VU,-19.55,169.2667,78.21,83,5,5.55,clear sky
214,Tiarei,PF,-17.5333,-149.3333,86.0,62,20,3.44,light rain
215,Te Anau,NZ,-45.4167,167.7167,55.26,93,97,2.46,overcast clouds
