,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
349,Dubbo,AU,-32.25,148.6167,50.0,93,61,9.22,broken clouds
350,Davila,PH,18.4726,120.5763,77.45,83,68,5.53,broken clouds
351,Prince Rupert,CA,54.3161,-130.3201,39.2,80,90,13.8,light snow
352,Pevek,RU,69.7008,170.3133,-21.19,100,66,1.68,broken clouds
353,Turbat,PK,26.0023,63.044,80.46,47,77,1.95,broken clouds
354,Destin,US,30.3935,-86.4958,80.01,78,90,9.22,overcast clouds
355,Mezen,RU,65.8522,44.24,35.4,94,100,8.08,overcast clouds
356,Anadyr,RU,64.75,177.4833,14.0,79,75,17.9,snow
357,Taraza,CO,7.5836,-75.4007,86.72,65,100,2.77,overcast clouds
358,Malanje,AO,-9.5402,16.341,65.08,82,65,4.29,broken clouds
359,Charleville-Mezieres,FR,49.7667,4.7167,50.0,85,100,11.99,overcast clouds
360,Macklin,CA,52.3334,-109.9348,64.4,20,36,13.8,scattered clouds
361,Rockport,US,28.0206,-97.0544,68.0,63,90,16.11,overcast clouds
362,Sisimiut,GL,66.9395,-53.6735,3.2,68,24,5.73,few clouds
363,Westport,US,41.1415,-73.3579,54.0,100,90,8.05,fog
364,Castelo Do Piaui,BR,-5.3222,-41.5525,81.21,76,50,3.44,light rain
365,Port-De-Bouc,FR,43.4,4.9833,53.6,87,0,3.44,clear sky
366,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,63,75,9.22,broken clouds
367,Dinghai,CN,26.2847,119.7936,62.6,82,0,2.24,clear sky
368,Manicore,BR,-5.8092,-61.3003,83.88,81,41,1.77,scattered clouds
369,Biak,ID,-0.9131,122.8766,75.87,89,100,8.03,overcast clouds
370,Tucurui,BR,-3.7661,-49.6725,79.9,90,79,3.06,broken clouds
371,Derzhavinsk,KZ,51.1,66.3167,12.13,95,20,8.57,few clouds
372,Mugan,CN,35.9404,101.3842,43.02,29,91,3.04,overcast clouds
373,Saint-Augustin,CA,51.226,-58.6502,21.49,69,8,10.04,clear sky
374,Surgana,IN,20.5667,73.6167,77.02,25,4,2.39,clear sky
375,Mayo,US,38.8876,-76.5119,73.99,73,20,12.66,few clouds
376,Quime,BO,-16.9833,-67.2167,53.64,86,100,7.18,overcast clouds
377,Skoghall,SE,59.3232,13.4655,39.2,100,90,10.36,overcast clouds
378,Murdochville,CA,48.9583,-65.5006,30.2,64,100,23.02,overcast clouds
379,Kisangani,CD,0.5167,25.2,76.6,64,50,1.39,scattered clouds
380,Mersin,TR,36.862,34.6509,50.0,66,0,2.3,clear sky
381,Massaguet,TD,12.4755,15.4365,86.0,10,0,13.8,dust
382,Batagay-Alyta,RU,67.8006,130.4114,-8.75,88,100,5.64,overcast clouds
383,Lodja,CD,-3.4833,23.4333,74.32,76,20,3.38,light rain
384,Mayumba,GA,-3.432,10.6554,77.86,84,100,3.47,light rain
385,Kangaatsiaq,GL,68.3065,-53.4641,-9.4,68,15,10.74,few clouds
386,Nogliki,RU,51.8333,143.1667,26.31,97,100,6.82,overcast clouds
387,Leningradskiy,RU,69.3833,178.4167,-14.22,95,99,2.91,overcast clouds
388,Rocha,UY,-34.4833,-54.3333,67.23,88,85,5.5,overcast clouds
389,Vung Tau,VN,10.346,107.0843,79.09,83,43,13.89,scattered clouds
390,Olafsvik,IS,64.8945,-23.7142,26.65,84,100,19.01,light snow
391,Weatherford,US,32.7593,-97.7972,71.01,36,0,8.01,clear sky
392,Darhan,MN,49.4867,105.9228,30.33,38,25,6.2,scattered clouds
393,Cayenne,GF,4.9333,-52.3333,82.4,74,75,14.97,broken clouds
394,Kemin,KG,42.7846,75.6892,40.14,96,100,1.77,light rain
395,Kyren,RU,51.6828,102.1408,24.49,74,95,2.44,overcast clouds
396,Nizwa,OM,22.9333,57.5333,80.42,15,32,4.76,scattered clouds
397,Salinopolis,BR,-0.6136,-47.3561,80.19,81,46,10.18,light rain
398,Ponta Delgada,PT,37.7333,-25.6667,59.0,82,75,9.22,broken clouds
399,Arti,RU,56.4234,58.5328,23.54,94,95,6.58,overcast clouds
400,Souillac,MU,-20.5167,57.5167,77.0,88,20,4.61,few clouds
401,Bilibino,RU,68.0546,166.4372,-21.6,93,58,2.8,broken clouds
402,Motygino,RU,58.1831,94.7592,31.39,98,100,4.38,light snow
403,Contamana,PE,-7.3333,-75.0167,82.92,84,100,3.06,overcast clouds
404,Zemio,CF,5.0314,25.1361,78.03,41,57,2.82,broken clouds
405,Yelkhovka,RU,53.8667,50.2832,30.2,69,20,8.95,few clouds
406,Ulladulla,AU,-35.35,150.4667,57.2,100,90,6.91,overcast clouds
407,Siilinjarvi,FI,63.0833,27.6667,39.2,75,75,10.36,broken clouds
408,Ejea De Los Caballeros,ES,42.1263,-1.1372,63.0,58,0,11.5,clear sky
409,Teguise,ES,29.0605,-13.564,66.2,82,20,2.3,few clouds
410,Christchurch,NZ,-43.5333,172.6333,60.01,94,40,1.14,scattered clouds
411,Katsuura,JP,35.1333,140.3,66.2,88,75,16.11,broken clouds
412,Benghazi,LY,32.1167,20.0667,59.34,61,100,11.92,overcast clouds
413,Jiexiu,CN,37.0244,111.9125,48.58,70,100,1.83,light rain
414,Bardiyah,LY,31.7561,25.0865,57.15,60,81,9.06,broken clouds
415,Maracaibo,VE,10.6317,-71.6406,84.96,58,100,13.91,overcast clouds
416,Tiznit,MA,29.5833,-9.5,61.7,61,0,4.76,clear sky
417,Coihaique,CL,-45.5752,-72.0662,66.2,52,40,6.91,scattered clouds
418,Kapoeta,SS,4.7717,33.5903,82.81,42,81,5.53,broken clouds
419,Baffa,PK,34.4378,73.2194,61.77,75,100,6.58,overcast clouds
420,Marsh Harbour,BS,26.5412,-77.0636,77.81,71,17,14.07,few clouds
421,Margate,GB,51.3813,1.3862,50.0,70,88,4.0,overcast clouds
422,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.2,42,100,4.47,overcast clouds
423,Kanniyakumari,IN,8.0833,77.5667,82.18,74,24,5.32,few clouds
424,Corner Brook,CA,48.9667,-57.9484,33.8,29,1,5.75,clear sky
425,Sampang,ID,-7.1872,113.2394,80.6,89,20,3.44,haze
426,Ixtapa,MX,20.7,-105.2,77.0,57,40,11.5,scattered clouds
427,Lom,BG,43.8139,23.2361,49.14,57,100,12.64,overcast clouds
428,Nanakuli,US,21.3906,-158.1547,77.0,60,1,10.36,clear sky
429,Port Hardy,CA,50.6996,-127.4199,42.8,81,75,8.05,broken clouds
430,Provideniya,RU,64.3833,-173.3,11.55,91,100,22.03,snow
431,Guaimaca,HN,14.5333,-86.8167,82.4,39,40,11.5,scattered clouds
432,Moa,CU,20.6569,-74.9403,81.37,66,1,15.12,clear sky
433,Yichun,CN,47.7,128.9,35.49,98,100,3.2,light rain
434,Namibe,AO,-15.1961,12.1522,73.92,74,42,4.41,light rain
435,Mugur-Aksy,RU,50.35,90.5,21.0,92,79,3.38,broken clouds
436,Rawson,AR,-43.3002,-65.1023,66.78,51,66,14.12,broken clouds
437,Palmer,US,42.1584,-72.3287,53.01,100,90,3.44,moderate rain
438,Astoria,US,46.1879,-123.8313,46.4,87,90,24.16,moderate rain
439,Eldoret,KE,0.5204,35.2699,59.0,94,75,5.75,broken clouds
440,Padang,ID,-0.9492,100.3543,75.2,94,75,3.44,broken clouds
441,Bonavista,CA,48.6499,-53.1147,32.0,51,71,1.14,broken clouds
442,Garden City,US,42.3256,-83.331,45.0,70,90,21.85,overcast clouds
443,Grand-Santi,GF,4.25,-54.3833,77.88,94,93,4.47,light rain
444,Curuguaty,PY,-24.4694,-55.6945,74.97,82,97,3.11,overcast clouds
445,Bemidji,US,47.4736,-94.8803,42.01,30,1,8.05,clear sky
446,Kahului,US,20.8947,-156.47,75.2,64,40,20.71,scattered clouds
447,Koygorodok,RU,60.445,50.9968,25.54,96,71,5.61,broken clouds
448,Ulaangom,MN,49.9811,92.0667,21.87,88,100,4.61,light snow
449,Kieta,PG,-6.2167,155.6333,77.97,85,58,3.06,broken clouds
450,Haines Junction,CA,60.7522,-137.5108,23.0,36,9,9.22,clear sky
451,Nau,TJ,40.1525,69.3686,46.4,93,90,24.61,light rain
452,Mecca,SA,21.4267,39.8261,74.32,59,0,7.31,clear sky
453,Barkhan,PK,29.8977,69.5256,74.5,22,45,3.42,scattered clouds
454,Knysna,ZA,-34.0363,23.0471,59.0,94,0,6.91,clear sky
455,Port Macquarie,AU,-31.4333,152.9167,63.0,99,19,5.14,few clouds
456,Luanda,AO,-8.8368,13.2343,80.6,83,20,6.91,few clouds
457,La Ronge,CA,55.1001,-105.2842,37.4,70,100,8.05,overcast clouds
458,Elbistan,TR,38.2059,37.1983,33.33,65,0,0.47,clear sky
459,Kavaratti,IN,10.5669,72.642,83.62,73,100,6.33,overcast clouds
460,Poum,NC,-20.2333,164.0167,79.32,79,10,8.25,clear sky
461,Borba,BR,-4.3878,-59.5939,80.62,89,93,1.12,overcast clouds
462,Manggar,ID,-2.8833,108.2667,79.84,80,100,1.66,overcast clouds
463,Narrabri,AU,-30.3167,149.7833,55.99,87,0,6.08,clear sky
464,Galle,LK,6.0367,80.217,76.91,81,100,9.93,overcast clouds
465,Sibu,MY,2.3,111.8167,77.0,88,40,4.61,scattered clouds
466,Flinders,AU,-34.5833,150.8552,57.0,87,8,1.01,clear sky
467,Kokopo,PG,-4.352,152.2633,77.14,77,98,2.59,overcast clouds
468,Kawalu,ID,-7.3817,108.2082,72.34,96,95,0.6,overcast clouds
469,Dunedin,NZ,-45.8742,170.5036,55.0,93,41,5.7,scattered clouds
470,Rincon,US,32.296,-81.2354,86.0,48,75,18.41,broken clouds
471,Betong,TH,5.7743,101.0723,71.15,98,44,1.92,scattered clouds
472,Excelsior Springs,US,39.3392,-94.2261,57.99,40,1,11.5,clear sky
473,Hayden,US,47.766,-116.7866,52.0,54,1,20.71,clear sky
474,Sorong,ID,-0.8833,131.25,78.55,87,100,7.49,overcast clouds
475,Santiago,CL,-33.4569,-70.6483,84.0,24,0,9.22,clear sky
476,Pangai,TO,-19.8,-174.35,82.4,83,20,13.8,light rain
477,Henties Bay,NA,-22.116,14.2845,61.0,90,0,5.99,clear sky
478,Porto Velho,BR,-8.7619,-63.9039,89.6,55,40,2.3,light rain
479,Palm Beach,US,26.6503,-80.4498,87.01,60,0,5.01,clear sky
480,Sainte-Marie,RE,-20.8968,55.5496,77.0,78,0,3.44,clear sky
481,Nakhon Sawan,TH,15.7,100.0833,82.99,78,74,7.18,broken clouds
482,Paita,PE,-5.0892,-81.1144,89.6,43,20,13.8,few clouds
483,Marsaxlokk,MT,35.8419,14.5431,59.0,94,0,6.91,clear sky
484,Garissa,KE,-0.4536,39.6401,86.36,47,94,12.66,overcast clouds
485,Pericos,MX,25.05,-107.7,86.0,30,75,9.22,broken clouds
486,Hereford,GB,52.0568,-2.7148,52.0,84,100,14.0,overcast clouds
487,Acarau,BR,-2.8856,-40.12,80.49,76,20,7.54,few clouds
488,Wagar,SD,16.1525,36.2032,76.53,58,0,15.17,clear sky
489,Caraquet,CA,47.7941,-64.9386,28.4,69,100,9.22,overcast clouds
490,Constitucion,CL,-35.3333,-72.4167,67.5,47,0,3.67,clear sky
491,Bani,DO,18.2833,-70.3333,86.0,62,75,9.22,broken clouds
492,Macia,MZ,-25.0269,33.0989,70.77,75,14,8.28,few clouds
493,Wittmund,DE,53.5667,7.7833,48.2,87,100,16.11,overcast clouds
494,Tacuarembo,UY,-31.7333,-55.9833,68.09,65,53,11.9,broken clouds
495,Bubaque,GW,11.2833,-15.8333,75.83,72,0,16.71,clear sky
496,Vrangel,RU,42.7297,133.0839,36.81,99,84,4.79,broken clouds
497,Dingle,PH,10.9995,122.6711,76.23,89,100,6.17,overcast clouds
498,Kalabo,ZM,-14.97,22.6814,70.95,69,97,4.79,overcast clouds
499,Winton,US,37.3894,-120.6133,75.2,31,1,2.19,clear sky
500,Narsaq,GL,60.9167,-46.05,24.8,58,0,6.91,clear sky
501,Lewiston,US,44.1003,-70.2148,41.0,100,90,12.66,moderate rain
502,Pisco,PE,-13.7,-76.2167,77.0,57,0,16.11,clear sky
503,Kysyl-Syr,RU,63.8986,122.7617,5.38,99,88,3.0,overcast clouds
504,Ende,ID,-8.8432,121.6623,77.65,87,85,0.98,overcast clouds
505,Tenenkou,ML,14.4572,-4.9169,88.59,8,0,9.28,clear sky
506,Agadez,NE,19.75,10.25,68.25,14,0,5.66,clear sky
507,Durusu,TR,41.3053,28.6767,52.0,81,0,1.14,clear sky
508,Langsa,ID,4.4683,97.9683,75.02,95,99,0.85,light rain
509,Muravlenko,RU,63.7898,74.523,1.54,97,88,9.6,overcast clouds
510,Aljezur,PT,37.3191,-8.8033,59.77,79,100,6.98,overcast clouds
511,Cap-Aux-Meules,CA,47.3821,-61.8597,30.2,69,92,10.36,overcast clouds
512,Murmashi,RU,68.8154,32.8115,37.4,81,40,4.47,scattered clouds
513,Miyazu,JP,35.5333,135.1833,54.59,95,81,2.57,broken clouds
514,Nivala,FI,63.9167,24.9667,39.0,77,88,8.01,overcast clouds
515,Nata,PA,8.3333,-80.5167,95.0,38,20,17.27,few clouds
516,Hirara,JP,24.8,125.2833,74.46,86,6,1.45,clear sky
517,Qasigiannguit,GL,68.8193,-51.1922,-5.8,41,0,2.3,clear sky
518,Logan,US,41.7355,-111.8344,59.0,33,1,5.75,clear sky
519,Woodward,US,36.4337,-99.3904,64.4,24,1,4.61,clear sky
520,Hanzhong,CN,33.0728,107.0303,59.09,69,10,2.19,clear sky
521,Severo-Yeniseyskiy,RU,60.3725,93.0408,11.55,98,100,1.19,overcast clouds
522,Pingyin,CN,36.2831,116.4453,61.0,30,100,8.23,overcast clouds
523,Skibotn,NO,69.3913,20.2679,33.8,64,0,6.91,clear sky
524,Davidson,US,36.1501,-86.7833,60.8,36,40,19.57,scattered clouds
525,Masterton,NZ,-40.9597,175.6575,63.0,93,100,4.0,light rain
526,Saldanha,ZA,-33.0117,17.9442,68.0,49,100,5.75,overcast clouds
527,Qixia,CN,37.2975,120.8256,46.99,65,100,4.85,overcast clouds
528,Tecozautla,MX,20.5333,-99.6333,84.2,11,40,9.22,scattered clouds
529,Havoysund,NO,70.9963,24.6622,35.6,75,20,11.5,few clouds
530,Bitam,GA,2.076,11.5007,70.2,96,81,3.78,light rain
531,Dzaoudzi,YT,-12.7887,45.2699,82.4,83,20,5.75,few clouds
532,Scarborough,GB,54.2797,-0.4044,55.0,83,100,7.0,light rain
533,La Rioja,ES,42.25,-2.5,62.6,42,0,5.75,clear sky
534,Deputatskiy,RU,69.3,139.9,0.25,96,100,3.78,overcast clouds
535,Nelson Bay,AU,-32.7167,152.15,63.0,100,40,4.61,scattered clouds
536,Ternate,ID,0.8,127.4,78.13,87,100,9.48,overcast clouds
537,Vitim,RU,59.4511,112.5578,9.46,98,100,1.45,overcast clouds
538,Cheney,US,47.4874,-117.5758,50.0,57,75,17.27,broken clouds
539,Ostersund,SE,63.1792,14.6357,34.0,100,90,12.66,mist
540,Sapele,NG,5.8941,5.6767,81.61,71,4,6.02,clear sky
541,Svetlaya,RU,46.5389,138.3297,34.14,96,100,18.59,light snow
542,Lima,PE,-12.0432,-77.0282,77.0,64,0,9.22,clear sky
543,Jimma,ET,7.6667,36.8333,62.67,72,99,1.1,overcast clouds
544,Flin Flon,CA,54.7682,-101.865,28.4,74,90,9.22,snow
545,Karpathos,GR,35.507,27.2132,55.4,62,0,11.5,clear sky
546,Orje,NO,59.4802,11.6602,41.0,95,100,1.99,overcast clouds
547,Kosh-Agach,RU,50.0,88.6667,19.71,96,92,3.09,overcast clouds
548,Prince George,CA,53.9166,-122.753,34.0,74,1,11.5,clear sky
549,Cabedelo,BR,-6.9811,-34.8339,84.2,70,75,9.22,broken clouds
550,Chermoz,RU,58.787,56.1489,26.01,92,96,10.09,overcast clouds
551,Orillia,CA,44.6087,-79.4207,44.6,87,100,20.71,overcast clouds
552,Yining,CN,29.0361,114.5636,62.02,89,17,1.79,few clouds
553,Carora,VE,10.1755,-70.0827,87.76,41,100,14.03,overcast clouds
554,Visby,SE,57.6409,18.296,39.99,93,90,20.71,moderate rain
555,Hasaki,JP,35.7333,140.8333,62.6,100,75,18.41,broken clouds
556,Urumqi,CN,43.801,87.6005,50.0,81,90,4.47,overcast clouds
557,Fairlie,GB,55.756,-4.8556,53.6,94,90,29.93,overcast clouds
558,Lorengau,PG,-2.0226,147.2712,82.04,76,100,7.83,overcast clouds
559,Yar-Sale,RU,66.8333,70.8333,-12.75,99,19,8.86,few clouds
560,West Hartford,US,41.762,-72.742,55.0,94,100,12.24,light rain
561,Cabo San Lucas,MX,22.8909,-109.9124,81.0,35,75,8.05,broken clouds
562,Warrnambool,AU,-38.3833,142.4833,53.01,94,100,7.74,overcast clouds
563,Libertador General San Martin,AR,-23.8064,-64.7876,66.88,68,87,3.4,overcast clouds
564,La Asuncion,VE,11.0333,-63.8628,78.98,76,9,17.22,clear sky
565,Bolitoc,PH,15.7395,119.8769,77.99,82,99,7.83,overcast clouds
566,Saint-Francois,FR,46.4154,3.9054,48.2,66,0,3.44,clear sky
567,Camopi,GF,3.1655,-52.3158,75.63,97,100,4.54,heavy intensity rain
568,Valparaiso,CL,-33.0393,-71.6273,62.6,72,20,6.91,few clouds
569,Kilrush,IE,52.6397,-9.4833,57.2,88,75,21.85,broken clouds
570,Norman Wells,CA,65.282,-126.8329,-4.0,65,75,19.57,broken clouds
571,Tecoanapa,MX,16.5167,-98.75,85.59,48,0,11.12,clear sky
572,Springfield,US,37.2153,-93.2982,57.0,35,1,17.27,clear sky
573,Genhe,CN,50.7833,121.5167,30.25,97,100,6.2,light snow
574,Grindavik,IS,63.8424,-22.4338,32.0,86,75,1.14,broken clouds
575,Prien,US,30.1819,-93.2738,66.2,52,90,21.85,light rain
576,Lukang,TW,24.0567,120.4352,73.0,100,75,2.3,fog
577,Akdepe,TM,42.0551,59.3788,44.6,70,0,6.91,clear sky
578,Pueblo Nuevo,MX,23.3833,-105.3833,77.74,9,100,6.76,overcast clouds
579,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,66,20,6.91,few clouds
580,Tessalit,ML,20.1986,1.0114,76.44,8,0,11.74,clear sky
581,Khasan,RU,42.4308,130.6434,40.68,92,100,4.63,overcast clouds
582,Roma,US,43.2128,-75.4557,55.99,82,90,9.22,light rain
583,Longyearbyen,SJ,78.2186,15.6401,32.0,74,20,2.3,few clouds
584,Ayagoz,KZ,47.9714,80.4392,33.01,95,99,7.45,overcast clouds
585,Russell,US,32.3502,-85.1999,69.8,83,90,6.91,overcast clouds
586,Grande Prairie,CA,55.1667,-118.8027,35.6,69,90,17.27,overcast clouds
587,Kirakira,SB,-10.4544,161.9205,79.38,83,71,6.13,broken clouds
588,Acapulco,MX,16.8634,-99.8901,84.2,61,1,11.5,clear sky
589,Sault Sainte Marie,CA,46.5168,-84.3333,35.6,69,90,19.57,overcast clouds
590,Solnechnyy,RU,50.7214,136.6319,28.6,97,100,4.5,overcast clouds
591,Lundazi,ZM,-12.2929,33.1782,65.14,94,100,8.21,overcast clouds
592,Zomin,UZ,39.9606,68.3958,39.63,94,100,8.7,light rain
593,Kaduqli,SD,11.0167,29.7167,81.37,12,0,13.33,clear sky
594,Imeni Stepana Razina,RU,54.8932,44.2963,25.66,94,94,6.15,overcast clouds
595,Puerto Carreno,CO,6.189,-67.4859,89.98,45,100,6.31,overcast clouds
596,Katobu,ID,-4.9408,122.5276,75.47,92,100,5.23,overcast clouds
597,Aktas,KZ,49.7789,72.9608,30.2,86,90,13.42,light snow
598,Gardner,US,42.5751,-71.9981,44.6,100,90,3.44,mist
599,Korsakov,RU,46.6328,142.7813,32.0,93,75,17.9,light rain
600,Freetown,SL,8.484,-13.2299,84.2,61,2,10.36,haze
601,Lubaczow,PL,50.157,23.1234,39.99,74,13,4.0,few clouds
602,Noumea,NC,-22.2763,166.4572,79.0,88,0,1.14,clear sky
603,Jilotepec,MX,19.6,-96.9333,80.73,37,84,5.79,broken clouds
604,Lishui,CN,28.4604,119.9103,62.26,97,2,2.91,clear sky
605,Nianzishan,CN,47.5167,122.8833,38.86,82,92,10.18,overcast clouds
606,Portland,US,45.5234,-122.6762,50.0,66,90,9.22,overcast clouds
607,Lasa,IT,46.6166,10.7002,59.0,56,0,3.44,clear sky
608,Chapais,CA,49.7834,-74.8492,30.2,93,90,9.22,snow
609,Vila,PT,42.0304,-8.1588,60.8,55,0,3.44,clear sky
610,Dharchula,IN,29.85,80.5333,60.96,39,47,6.73,scattered clouds
611,Santa Cruz,BO,-17.8,-63.1667,80.6,53,40,9.22,scattered clouds
612,Cap Malheureux,MU,-19.9842,57.6142,78.01,79,1,2.15,clear sky
613,Esna,EG,25.2934,32.554,69.8,26,0,3.44,clear sky
614,Sioux Lookout,CA,50.1001,-91.917,30.2,43,40,9.22,scattered clouds
615,Sosnogorsk,RU,63.6023,53.8817,31.53,95,100,7.63,overcast clouds
616,Motala,SE,58.5371,15.0365,41.0,93,90,13.8,moderate rain
617,San Fernando,PH,15.0286,120.6898,78.8,78,75,4.61,broken clouds
618,Suez,EG,29.9737,32.5263,55.85,57,0,11.43,clear sky
619,Zavyalovo,RU,54.5053,82.4484,30.2,93,90,4.47,snow
620,Pangody,RU,65.85,74.4859,-8.0,99,83,8.66,broken clouds
621,Polis,CY,35.0367,32.4264,50.0,62,40,3.44,scattered clouds
622,Itarema,BR,-2.9248,-39.9167,80.38,76,12,6.6,few clouds
623,Ilebo,CD,-4.3167,20.5833,73.2,89,95,2.95,light rain
624,Macau,MO,22.2006,113.5461,75.2,88,40,5.75,scattered clouds
625,Farah,AF,32.5,62.5,59.07,34,0,8.66,clear sky
626,Sistranda,NO,63.7256,8.834,42.8,87,75,4.61,light rain
627,Lata,PT,40.1629,-8.3327,68.0,52,0,6.91,clear sky
628,Fenoarivo,MG,-18.933,47.4354,66.2,88,20,5.75,few clouds
629,Gamba,GA,-2.65,10.0,76.91,88,100,5.23,moderate rain
630,Eirunepe,BR,-6.6603,-69.8736,80.98,79,92,3.02,overcast clouds
631,Jiuquan,CN,39.7432,98.5174,46.04,48,38,6.44,scattered clouds
632,Evensk,RU,61.95,159.2333,-10.03,90,98,4.32,overcast clouds
633,Filadelfia,US,39.9523,-75.1638,66.99,94,90,13.8,overcast clouds
634,Tual,ID,-5.6667,132.75,83.16,76,100,16.28,light rain
635,Sun Valley,US,39.5963,-119.776,68.0,12,1,12.66,clear sky
636,Plock,PL,52.5468,19.7064,39.2,75,0,6.91,clear sky
637,Price,US,39.5994,-110.8107,51.8,30,1,5.93,clear sky
638,Andenes,NO,69.3143,16.1194,37.4,65,0,16.11,clear sky
639,San Carlos De Bariloche,AR,-41.1456,-71.3082,77.0,13,0,4.61,clear sky
640,Lubao,PH,14.9167,120.55,78.8,78,75,4.61,broken clouds
641,Tynda,RU,55.1667,124.7167,26.76,97,100,3.69,light snow
642,Enshi,CN,30.3,109.4833,60.08,79,5,1.81,clear sky
643,Saint-Georges,GD,12.0564,-61.7485,82.4,74,75,17.27,broken clouds
644,Palmeira,BR,-25.4294,-50.0064,70.77,86,100,4.29,overcast clouds
645,Beysehir,TR,37.6773,31.7246,38.23,66,0,4.68,clear sky
646,Porto Murtinho,BR,-21.6989,-57.8825,88.05,45,54,3.85,broken clouds
647,Teruel,ES,40.6667,-0.6667,51.8,54,0,13.8,clear sky
648,Pasni,PK,25.2631,63.471,78.3,77,99,7.29,overcast clouds
649,Asau,RO,46.4333,26.4,37.99,58,97,2.75,overcast clouds
650,Alakurtti,RU,66.9672,30.3491,37.0,92,99,3.76,overcast clouds
651,Qaqortoq,GL,60.7167,-46.0333,24.8,58,0,6.91,clear sky
652,Nurota,UZ,40.5614,65.6886,42.8,93,90,13.8,mist
653,San Matias,BO,-16.3667,-58.4,95.27,31,34,2.93,scattered clouds
654,Omboue,GA,-1.5746,9.2618,77.72,88,100,10.45,moderate rain
655,Chabahar,IR,25.2919,60.643,80.35,63,100,11.34,overcast clouds
656,Sfantu Gheorghe,RO,45.8667,25.7833,39.99,78,89,7.43,overcast clouds
657,Bure,ET,10.7,37.0667,67.17,45,100,3.38,overcast clouds
658,Nyaunglebin,MM,17.95,96.7333,75.06,64,5,5.35,clear sky
659,Mugumu,TZ,-1.85,34.7,62.38,83,80,4.03,broken clouds
660,Gikongoro,RW,-2.464,29.5739,57.74,92,56,3.44,light rain
661,Xique-Xique,BR,-10.8218,-42.7263,89.01,38,42,0.65,scattered clouds
662,Pingdu,CN,36.7844,119.9464,48.2,61,96,2.24,haze
663,Sherbakul,RU,54.6316,72.3963,26.6,93,75,11.18,light snow
664,Aron,IN,24.3833,77.4167,82.85,13,1,5.82,clear sky
665,Yeniseysk,RU,58.4497,92.1703,31.14,98,100,2.46,light snow
666,Aksu,CN,41.1231,80.2644,57.15,36,100,4.61,overcast clouds
667,Svetlyy,RU,54.675,20.1347,42.8,70,0,8.95,clear sky
668,Kasempa,ZM,-13.4584,25.8338,62.85,93,66,4.18,broken clouds
669,Fare,PF,-16.7,-151.0167,81.97,73,18,21.34,light rain
670,Chkalovsk,RU,56.7647,43.2433,26.6,59,0,5.28,clear sky
671,Sabzevar,IR,36.2126,57.6819,41.52,47,0,10.67,clear sky
672,Mareeba,AU,-17.0,145.4333,78.8,73,75,11.5,broken clouds
673,Zarubino,RU,42.63,131.0922,38.86,95,100,7.87,overcast clouds
674,Auki,SB,-8.7676,160.7034,78.01,86,36,3.29,scattered clouds
675,Meulaboh,ID,4.1363,96.1285,77.27,86,96,2.37,overcast clouds
676,Bundaberg,AU,-24.85,152.35,71.01,88,72,8.05,broken clouds
677,Kabare,CD,-2.4683,28.8242,59.99,91,68,1.61,broken clouds
678,Bowen,AU,-20.0167,148.2333,69.8,94,11,6.91,few clouds
679,Arraias,BR,-12.9288,-46.9437,83.89,48,59,2.98,broken clouds
680,Veraval,IN,20.9,70.3667,77.88,76,4,12.01,clear sky
681,Sampit,ID,-2.5333,112.95,73.71,98,100,0.65,light rain
682,Bandarbeyla,SO,9.4942,50.8122,78.62,73,9,6.35,clear sky
683,Hermosillo,MX,29.0667,-110.9667,90.0,5,1,9.22,clear sky
684,Pontes E Lacerda,BR,-15.2261,-59.3353,82.94,66,70,3.53,broken clouds
685,Janossomorja,HU,47.7862,17.136,44.6,57,0,1.14,clear sky
686,Nalut,LY,30.3333,10.85,65.89,17,87,10.74,overcast clouds
687,Aguimes,ES,27.9054,-15.4461,70.0,68,20,6.91,few clouds
688,Uthal,PK,25.8072,66.6219,77.25,76,21,6.51,few clouds
689,Svetlogorsk,BY,52.6333,29.7333,38.97,96,100,9.51,overcast clouds
690,Pulsano,IT,40.3821,17.3564,57.99,74,0,0.63,clear sky
691,Ugoofaaru,MV,5.6667,73.0,84.02,70,57,11.48,broken clouds
692,Tilichiki,RU,60.4667,166.1,-6.86,91,13,6.69,few clouds
693,Seagoville,US,32.6396,-96.5383,70.0,32,1,19.57,clear sky
694,Waingapu,ID,-9.6567,120.2641,78.84,83,100,6.2,heavy intensity rain
695,Klyuchi,RU,52.2667,79.1667,32.11,97,100,14.58,overcast clouds
696,Miles City,US,46.4083,-105.8406,69.8,14,1,26.46,clear sky
697,Haimen,CN,23.1935,116.6142,71.6,88,0,2.24,mist
698,Gizo,SB,-8.103,156.8419,82.65,74,25,7.34,scattered clouds
699,Pocone,BR,-16.2567,-56.6228,95.36,30,17,5.06,few clouds
700,Ahuimanu,US,21.4447,-157.8378,77.0,53,75,13.8,broken clouds
701,Gimli,CA,50.6336,-96.9907,33.8,55,100,14.97,overcast clouds
702,Ozinki,RU,51.1786,49.6769,32.04,98,100,13.67,snow
703,Verkhoyansk,RU,67.5447,133.385,-7.89,100,100,2.91,overcast clouds
