City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Kapaa,US,2021-03-24 20:09:15,22.0752,-159.319,78.01,69,40,8.05
59,Moron,AR,2021-03-24 20:09:15,-34.6534,-58.6198,81.0,68,97,3.0
60,Punta Arenas,CL,2021-03-24 20:09:15,-53.15,-70.9167,50.0,62,40,23.02
61,Longyearbyen,SJ,2021-03-24 20:09:15,78.2186,15.6401,26.6,68,75,11.5
62,Esperance,AU,2021-03-24 20:09:16,-33.8667,121.9,53.6,87,80,6.91
63,Dikson,RU,2021-03-24 20:09:16,73.5069,80.5464,-8.0,99,86,3.69
64,Daugai,LT,2021-03-24 20:09:16,54.3667,24.3333,37.4,75,0,3.44
65,Geraldton,AU,2021-03-24 20:09:16,-28.7667,114.6,59.0,72,0,6.91
66,Mahebourg,MU,2021-03-24 20:09:17,-20.4081,57.7,77.0,94,20,4.61
67,Koster,ZA,2021-03-24 20:09:17,-25.863,26.8976,58.73,79,99,4.34
68,Dosso,NE,2021-03-24 20:09:17,13.049,3.1937,88.9,7,3,11.92
69,Saint Anthony,US,2021-03-24 20:09:17,45.0205,-93.218,41.0,87,90,14.97
70,Ushuaia,AR,2021-03-24 20:09:18,-54.8,-68.3,44.6,76,75,37.98
71,Vardo,NO,2021-03-24 20:09:18,70.3705,31.1107,33.8,86,100,9.22
72,Marawi,PH,2021-03-24 20:09:18,7.9986,124.2928,73.0,91,97,5.99
73,Wasilla,US,2021-03-24 20:05:34,61.5814,-149.4394,30.0,59,1,8.05
74,Great Neck,US,2021-03-24 20:07:06,40.8007,-73.7285,57.0,81,90,9.22
75,Chuy,UY,2021-03-24 20:04:52,-33.6971,-53.4616,74.16,62,14,9.42
76,High Level,CA,2021-03-24 20:09:18,58.5169,-117.136,8.6,72,20,11.5
77,Hamilton,US,2021-03-24 20:05:10,39.1834,-84.5333,75.2,41,40,14.97
78,Kasongo-Lunda,CD,2021-03-24 20:09:19,-6.4667,16.8167,71.17,98,100,3.44
79,Victoria,HK,2021-03-24 20:08:33,22.2855,114.1577,71.01,79,0,6.87
80,Dauriya,RU,2021-03-24 20:09:19,49.9333,116.8667,26.02,87,7,10.71
81,Issia,CI,2021-03-24 20:09:19,6.4922,-6.5856,76.03,82,100,0.78
82,Senanga,ZM,2021-03-24 20:09:19,-16.1167,23.2667,73.24,65,100,5.14
83,Tokur,RU,2021-03-24 20:09:20,53.1333,132.9,9.0,97,100,1.9
84,Sioux Lookout,CA,2021-03-24 20:09:20,50.1001,-91.917,28.4,80,90,10.36
85,Cururupu,BR,2021-03-24 20:09:20,-1.8283,-44.8683,79.05,85,95,4.41
86,Bhadrachalam,IN,2021-03-24 20:09:20,17.6667,80.8833,79.72,46,0,3.91
87,Gulbene,LV,2021-03-24 20:09:20,57.1777,26.7529,37.51,87,100,7.58
88,Nara,JP,2021-03-24 20:09:21,34.6851,135.8049,55.99,65,100,3.42
89,Hemsedal,NO,2021-03-24 20:09:21,60.8629,8.5534,19.96,85,15,6.44
90,Dingle,PH,2021-03-24 20:09:21,10.9995,122.6711,75.42,92,100,8.05
91,Hargeysa,SO,2021-03-24 20:09:21,9.56,44.065,65.55,43,5,6.53
92,Carnarvon,AU,2021-03-24 20:09:22,-24.8667,113.6333,73.4,78,40,18.41
93,Enid,US,2021-03-24 20:09:22,36.3956,-97.8784,57.2,58,75,6.91
94,Leningradskiy,RU,2021-03-24 20:09:22,69.3833,178.4167,-5.87,96,100,10.8
95,Upernavik,GL,2021-03-24 20:09:22,72.7868,-56.1549,-15.7,90,92,3.47
96,Iqaluit,CA,2021-03-24 20:09:22,63.7506,-68.5145,-16.01,63,40,5.75
