City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
635,Soyo,AO,81.12,overcast clouds,-6.1349,12.3689,Hotel Mpampa
639,Nobres,BR,84.07,clear sky,-14.7203,-56.3275,Hotel Portal Nobres
640,Sambo Creek,HN,82.4,few clouds,15.8167,-86.6833,Brisas del Mar
642,San Juan,AR,79.32,clear sky,-31.5375,-68.5364,Hotel Provincial
643,Papara,BR,86.0,few clouds,-3.9839,-38.7273,Romin
646,Kupang,ID,78.37,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
647,Canto Do Buriti,BR,82.54,overcast clouds,-8.11,-42.9444,Novo Hotel
648,Lagunas,PE,82.98,scattered clouds,-5.2269,-75.6753,Hospedaje Eco
654,Sambava,MG,76.37,moderate rain,-14.2667,50.1667,Melrose
657,Alta Floresta,BR,84.2,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
660,Senador Jose Porfirio,BR,78.76,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
666,Jacareacanga,BR,80.91,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
673,Grand-Santi,GF,76.28,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
679,Manggar,ID,79.59,overcast clouds,-2.8833,108.2667,Guest Hotel
687,Acarau,BR,78.48,few clouds,-2.8856,-40.12,castelo pizzaria
691,Laje,BR,81.81,scattered clouds,-10.1833,-40.9667,Pousada Centro
693,Goundam,ML,81.18,clear sky,16.4145,-3.6708,
696,Port Moresby,PG,75.2,few clouds,-9.4431,147.1797,Lamana Hotel
698,Gigmoto,PH,78.46,overcast clouds,13.7796,124.39,Cj's Travellers Inn
700,Jevargi,IN,85.8,scattered clouds,17.0167,76.7667,Apna Ghar
702,Porto De Moz,BR,81.93,overcast clouds,-1.7483,-52.2383,Dormitório labelle
703,San Gabriel,US,84.99,clear sky,34.0961,-118.1058,Hilton Los Angeles/San Gabriel
704,Luwuk,ID,77.22,light rain,-0.9516,122.7875,Hotel Santika Luwuk
705,Ahuimanu,US,77.0,broken clouds,21.4447,-157.8378,Paradise Bay Resort
